pin,symbol,omi_net,group,notes
1,NC,NC,OTHER,NC in Table 4
2,VSS,GND,POWER,
3,DQ4,D0_DQ4,DQ_DQS,byte lane 0
4,VSS,GND,POWER,
5,DQ0,D0_DQ0,DQ_DQS,byte lane 0
6,VSS,GND,POWER,
7,DM0_n/DBI0_n,D0_DM_DBI_n,DQ_DQS,byte lane 0
8,NC,NC,OTHER,NC in Table 4
9,VSS,GND,POWER,
10,DQ6,D0_DQ6,DQ_DQS,byte lane 0
11,VSS,GND,POWER,
12,DQ2,D0_DQ2,DQ_DQS,byte lane 0
13,VSS,GND,POWER,
14,DQ12,D1_DQ4,DQ_DQS,byte lane 1
15,VSS,GND,POWER,
16,DQ8,D1_DQ0,DQ_DQS,byte lane 1
17,VSS,GND,POWER,
18,DM1_n/DBI1_n,D1_DM_DBI_n,DQ_DQS,byte lane 1
19,NC,NC,OTHER,NC in Table 4
20,VSS,GND,POWER,
21,DQ14,D1_DQ6,DQ_DQS,byte lane 1
22,VSS,GND,POWER,
23,DQ10,D1_DQ2,DQ_DQS,byte lane 1
24,VSS,GND,POWER,
25,DQ20,D2_DQ4,DQ_DQS,byte lane 2
26,VSS,GND,POWER,
27,DQ16,D2_DQ0,DQ_DQS,byte lane 2
28,VSS,GND,POWER,
29,DM2_n/DBI2_n,D2_DM_DBI_n,DQ_DQS,byte lane 2
30,NC,NC,OTHER,NC in Table 4
31,VSS,GND,POWER,
32,DQ22,D2_DQ6,DQ_DQS,byte lane 2
33,VSS,GND,POWER,
34,DQ18,D2_DQ2,DQ_DQS,byte lane 2
35,VSS,GND,POWER,
36,DQ28,D3_DQ4,DQ_DQS,byte lane 3
37,VSS,GND,POWER,
38,DQ24,D3_DQ0,DQ_DQS,byte lane 3
39,VSS,GND,POWER,
40,DM3_n/DBI3_n,D3_DM_DBI_n,DQ_DQS,byte lane 3
41,NC,NC,OTHER,NC in Table 4
42,VSS,GND,POWER,
43,DQ30,D3_DQ6,DQ_DQS,byte lane 3
44,VSS,GND,POWER,
45,DQ26,D3_DQ2,DQ_DQS,byte lane 3
46,VSS,GND,POWER,
47,CB4/NC,NC,OTHER,ECC/CB lane; NC on x64 non-ECC module
48,VSS,GND,POWER,
49,CB0/NC,NC,OTHER,ECC/CB lane; NC on x64 non-ECC module
50,VSS,GND,POWER,
51,DM8_n/DBI8_n,NC,OTHER,ECC lane 8; NC on x64 non-ECC module
52,NC,NC,OTHER,NC in Table 4
53,VSS,GND,POWER,
54,CB6/DBI8_n,NC,OTHER,ECC lane 8; NC on x64 non-ECC module
55,VSS,GND,POWER,
56,CB2/NC,NC,OTHER,ECC/CB lane; NC on x64 non-ECC module
57,VSS,GND,POWER,
58,RESET_n,RESET_n,CA_CLK,
59,VDD,VDD,POWER,
60,CKE0,CKE0,CA_CLK,clock enable rank 0
61,VDD,VDD,POWER,
62,ACT_n,ACT_n,CA_CLK,
63,BG0,BG0,CA_CLK,
64,VDD,VDD,POWER,
65,A12/BC_n,A12,CA_CLK,burst chop / address bit 12
66,A9,A9,CA_CLK,
67,VDD,VDD,POWER,
68,A8,A8,CA_CLK,
69,A6,A6,CA_CLK,
70,VDD,VDD,POWER,
71,A3,A3,CA_CLK,
72,A1,A1,CA_CLK,
73,VDD,VDD,POWER,
74,CK0_t,CK_t,CA_CLK,rank 0 clock true
75,CK0_c,CK_c,CA_CLK,rank 0 clock complement
76,VDD,VDD,POWER,
77,VTT,VTT,POWER,termination rail — host supplied
78,EVENT_n,NC,OTHER,NF in Table 4
79,A0,A0,CA_CLK,
80,VDD,VDD,POWER,
81,BA0,BA0,CA_CLK,
82,RAS_n/A16,A16,CA_CLK,row address strobe / address bit 16
83,VDD,VDD,POWER,
84,CS0_n,CS0_n,CA_CLK,chip select rank 0
85,VDD,VDD,POWER,
86,CAS_n/A15,A15,CA_CLK,column address strobe / address bit 15
87,ODT0,ODT0,CA_CLK,on-die termination rank 0
88,VDD,VDD,POWER,
89,CS1_n,NC,CA_CLK,single-rank v1: unused
90,VDD,VDD,POWER,
91,ODT1,NC,CA_CLK,single-rank v1: unused
92,VDD,VDD,POWER,
93,NC,NC,OTHER,NC in Table 4
94,VSS,GND,POWER,
95,DQ36,D4_DQ4,DQ_DQS,byte lane 4
96,VSS,GND,POWER,
97,DQ32,D4_DQ0,DQ_DQS,byte lane 4
98,VSS,GND,POWER,
99,DM4_n/DBI4_n,D4_DM_DBI_n,DQ_DQS,byte lane 4
100,NC,NC,OTHER,NC in Table 4
101,VSS,GND,POWER,
102,DQ38,D4_DQ6,DQ_DQS,byte lane 4
103,VSS,GND,POWER,
104,DQ34,D4_DQ2,DQ_DQS,byte lane 4
105,VSS,GND,POWER,
106,DQ44,D5_DQ4,DQ_DQS,byte lane 5
107,VSS,GND,POWER,
108,DQ40,D5_DQ0,DQ_DQS,byte lane 5
109,VSS,GND,POWER,
110,DM5_n/DBI5_n,D5_DM_DBI_n,DQ_DQS,byte lane 5
111,NC,NC,OTHER,NC in Table 4
112,VSS,GND,POWER,
113,DQ46,D5_DQ6,DQ_DQS,byte lane 5
114,VSS,GND,POWER,
115,DQ42,D5_DQ2,DQ_DQS,byte lane 5
116,VSS,GND,POWER,
117,DQ52,D6_DQ4,DQ_DQS,byte lane 6
118,VSS,GND,POWER,
119,DQ48,D6_DQ0,DQ_DQS,byte lane 6
120,VSS,GND,POWER,
121,DM6_n/DBI6_n,D6_DM_DBI_n,DQ_DQS,byte lane 6
122,NC,NC,OTHER,NC in Table 4
123,VSS,GND,POWER,
124,DQ54,D6_DQ6,DQ_DQS,byte lane 6
125,VSS,GND,POWER,
126,DQ50,D6_DQ2,DQ_DQS,byte lane 6
127,VSS,GND,POWER,
128,DQ60,D7_DQ4,DQ_DQS,byte lane 7
129,VSS,GND,POWER,
130,DQ56,D7_DQ0,DQ_DQS,byte lane 7
131,VSS,GND,POWER,
132,DM7_n/DBI7_n,D7_DM_DBI_n,DQ_DQS,byte lane 7
133,NC,NC,OTHER,NC in Table 4
134,VSS,GND,POWER,
135,DQ62,D7_DQ6,DQ_DQS,byte lane 7
